Course,Equivalent
EALC 512,TRST 502
EALC 520,HIST 520
EALC 522,HIST 521
EALC 526,HIST 526
EALC 527,HIST 527
EALC 567,REL 568
EALC 584,CI 584
EALC 584,EPSY 563
EALC 584,FR 584
EALC 584,GER 584
EALC 584,ITAL 584
EALC 584,LING 584
EALC 584,PORT 584
EALC 584,SPAN 584
EALC 588,FR 588
EALC 588,GER 588
EALC 588,ITAL 588
EALC 588,LING 588
EALC 588,PORT 588
EALC 588,SPAN 588
ECE 313,MATH 362
ECE 316,PHIL 316
ECE 345,TE 345
ECE 374,CS 374
ECE 380,BIOE 380
ECE 408,CS 483
ECE 408,CSE 408
ECE 414,BIOE 414
ECE 415,BIOE 415
ECE 416,BIOE 416
ECE 419,CS 460
ECE 422,CS 461
ECE 424,CS 463
ECE 428,CS 425
ECE 435,CS 436
ECE 438,CS 438
ECE 439,CS 439
ECE 448,CS 440
ECE 456,AE 456
ECE 467,BIOE 467
ECE 468,AE 468
ECE 470,AE 482
ECE 470,ME 445
ECE 473,TAM 413
ECE 478,CS 477
ECE 480,BIOE 480
ECE 485,ME 485
ECE 489,ME 446
ECE 489,SE 422
ECE 490,CSE 441
ECE 491,CS 450
ECE 491,CSE 401
ECE 491,MATH 450
ECE 492,CS 420
ECE 492,CSE 402
ECE 493,MATH 487
ECE 508,CS 508
ECE 511,CSE 521
ECE 515,ME 540
ECE 519,CS 585
ECE 524,CS 563
ECE 526,CS 539
ECE 528,ME 546
ECE 528,SE 520
ECE 535,PHYS 565
ECE 540,CSE 530
ECE 541,CS 541
ECE 542,CS 536
ECE 547,CSE 543
ECE 548,CS 548
ECE 549,CS 543
ECE 550,AE 583
ECE 552,CSE 532
ECE 554,ME 544
ECE 579,CS 579
ECE 584,CS 584
ECON 210,ACE 210
ECON 210,ENVS 210
ECON 210,NRES 210
ECON 210,UP 210
ECON 414,FIN 414
ECON 440,LER 440
ECON 452,ACE 452
ECON 540,LER 540
ECON 541,LER 541
ECON 542,LER 542
ECON 543,LAW 665
ECON 543,LER 543
ECON 545,EOL 518
ECON 546,FIN 519
ECON 548,ACE 510
ECON 548,ENVS 510
ECON 548,NRES 510
ECON 549,ACE 516
ECON 553,ACE 502
ECON 572,PS 548
ECON 578,STAT 575
EIL 422,ENGL 404
EIL 460,EPSY 487
EIL 460,FR 460
EIL 460,GER 460
EIL 460,ITAL 460
EIL 460,PORT 460
EIL 460,SLS 460
EIL 460,SPAN 460
EIL 580,FR 580
EIL 580,GER 580
EIL 580,ITAL 580
EIL 580,PORT 580
EIL 580,SLS 580
EIL 580,SPAN 580
ENG 110,TE 110
ENG 261,BADM 261
ENG 440,LAST 440
ENG 441,LAST 441
ENGL 104,MACS 104
ENGL 112,CWL 112
ENGL 114,CWL 111
ENGL 114,REL 101
ENGL 117,MACS 117
ENGL 119,CWL 119
ENGL 122,MDVL 122
ENGL 150,AFRO 105
ENGL 202,CWL 253
ENGL 202,MDVL 201
ENGL 204,CWL 255
ENGL 206,CWL 257
ENGL 211,AFST 210
ENGL 211,CWL 210
ENGL 216,CWL 216
ENGL 216,MDVL 216
ENGL 222,CWL 209
ENGL 222,JS 209
ENGL 223,CWL 221
ENGL 223,JS 220
ENGL 223,REL 220
ENGL 223,YDSH 220
ENGL 224,LLS 240
ENGL 224,SPAN 240
ENGL 225,LLS 242
ENGL 225,SPAN 242
ENGL 245,CWL 267
ENGL 248,CWL 269
ENGL 259,AFRO 259
ENGL 259,CWL 259
ENGL 260,AFRO 260
ENGL 260,CWL 260
ENGL 265,AIS 265
ENGL 266,CWL 254
ENGL 266,GER 251
ENGL 267,CWL 250
ENGL 267,GER 250
ENGL 268,CWL 271
ENGL 268,GER 260
ENGL 269,CWL 273
ENGL 269,GER 261
ENGL 269,JS 261
ENGL 272,AFRO 272
ENGL 273,MACS 273
ENGL 275,AIS 275
ENGL 275,MACS 275
ENGL 276,CWL 276
ENGL 276,EALC 276
ENGL 277,GWS 204
ENGL 277,MACS 204
ENGL 280,GWS 280
ENGL 281,GWS 281
ENGL 283,CWL 283
ENGL 283,REL 283
ENGL 284,CWL 284
ENGL 284,JS 284
ENGL 284,REL 284
ENGL 286,AAS 286
ENGL 293,ESE 293
ENGL 322,CWL 324
ENGL 322,RUSS 322
ENGL 323,CWL 323
ENGL 323,RUSS 323
ENGL 333,GWS 333
ENGL 359,CWL 320
ENGL 359,JS 320
ENGL 359,REL 320
ENGL 359,YDSH 320
ENGL 360,ESE 360
ENGL 373,MACS 373
ENGL 378,GWS 378
ENGL 402,BTW 402
ENGL 404,EIL 422
ENGL 407,MDVL 407
ENGL 411,MDVL 411
ENGL 412,CWL 417
ENGL 412,MDVL 410
ENGL 458,LLS 458
ENGL 459,AIS 459
ENGL 467,ESE 467
ENGL 470,AFST 410
ENGL 470,CWL 410
ENGL 470,FR 410
ENGL 477,ESE 477
ENGL 482,IS 482
ENGL 486,CLCV 430
ENGL 486,CWL 430
ENGL 486,GER 405
ENGL 486,SLAV 430
ENGL 486,SPAN 436
ENGL 486,TRST 431
ENGL 498,ESE 498
ENGL 503,CWL 503
ENGL 503,MACS 503
ENGL 504,CWL 504
ENGL 504,MACS 504
ENGL 505,CI 563
ENGL 514,MDVL 514
ENGL 582,CI 565
ENGL 583,CI 566
ENGL 584,CI 569
ENGL 586,CI 586
ENSU 300,LA 370
ENSU 300,NRES 370
ENSU 301,ATMS 322
ENSU 302,ATMS 323
ENVS 101,NPRE 101
ENVS 210,ACE 210
ENVS 210,ECON 210
ENVS 210,NRES 210
ENVS 210,UP 210
ENVS 220,AGCM 220
ENVS 220,NRES 220
ENVS 310,ACE 310
ENVS 310,NRES 310
ENVS 330,AGCM 330
ENVS 330,NRES 330
ENVS 336,CHLH 336
ENVS 336,CPSC 336
ENVS 380,GEOL 380
ENVS 406,UP 406
ENVS 420,CPSC 436
ENVS 420,IB 451
ENVS 430,AGCM 430
ENVS 430,NRES 430
ENVS 431,CHLH 461
ENVS 431,IB 485
ENVS 433,CB 434
ENVS 433,IB 486
ENVS 447,RSOC 447
ENVS 447,SOC 447
ENVS 469,CHLH 469
ENVS 474,CHLH 474
ENVS 474,PATH 474
ENVS 480,CB 449
ENVS 480,CPSC 433
ENVS 480,FSHN 480
ENVS 510,ACE 510
ENVS 510,ECON 548
ENVS 510,NRES 510
ENVS 514,CB 514
ENVS 514,PSYC 515
ENVS 516,CB 516
ENVS 527,CHLH 527
ENVS 527,PATH 525
ENVS 596,PATH 596
ENVS 596,CB 596
EOL 518,ECON 545
EOL 573,HRD 501
EOL 579,EPS 579
EOL 587,HRD 531
EPOL 550,CI 550
EPOL 550,EPSY 573
EPOL 550,SPED 550
EPS 310,AAS 310
EPS 310,AFRO 310
EPS 310,LLS 310
EPS 325,AFST 325
EPS 325,ASST 325
EPS 325,EURO 325
EPS 325,INFO 325
EPS 325,LAST 325
EPS 325,REES 325
EPS 325,SAME 325
EPS 402,AAS 402
EPS 421,AFRO 421
EPS 421,HDFS 424
EPS 422,SOC 426
EPS 425,ANTH 425
EPS 425,EPSY 466
EPS 481,AIS 481
EPS 539,AAS 539
EPS 539,HDFS 539
EPS 540,GWS 540
EPS 545,GWS 545
EPS 553,EPSY 553
EPS 575,MDIA 575
EPS 576,SPED 513
EPS 579,EOL 579
EPSY 222,SHS 222
EPSY 330,PSYC 326
EPSY 405,PSYC 465
EPSY 419,REHB 419
EPSY 420,PSYC 420
EPSY 421,GWS 421
EPSY 456,IE 445
EPSY 456,PSYC 456
EPSY 466,ANTH 425
EPSY 466,EPS 425
EPSY 474,HRD 474
EPSY 485,CI 485
EPSY 487,EIL 460
EPSY 487,FR 460
EPSY 487,GER 460
EPSY 487,ITAL 460
EPSY 487,PORT 460
EPSY 487,SLS 460
EPSY 487,SPAN 460
EPSY 530,PSYC 540
EPSY 546,IE 546
EPSY 551,PSYC 514
EPSY 551,ANTH 514
EPSY 551,CS 549
EPSY 551,LING 570
EPSY 551,PHIL 514
EPSY 552,PSYC 554
EPSY 553,EPS 553
EPSY 554,CI 545
EPSY 555,CI 555
EPSY 555,INFO 555
EPSY 563,CI 584
EPSY 563,EALC 584
EPSY 563,FR 584
EPSY 563,GER 584
EPSY 563,ITAL 584
EPSY 563,LING 584
EPSY 563,PORT 584
EPSY 563,SPAN 584
EPSY 566,PSYC 526
EPSY 567,PSYC 567
EPSY 572,CI 518
EPSY 573,CI 550
EPSY 573,EPOL 550
EPSY 573,SPED 550
EPSY 575,SPED 575
EPSY 581,PSYC 581
EPSY 583,SPED 583
EPSY 584,PSYC 594
EPSY 584,SOC 584
EPSY 585,PSYC 595
EPSY 586,PSYC 596
EPSY 587,PSYC 587
EPSY 587,STAT 587
EPSY 588,PSYC 588
EPSY 588,SOC 588
EPSY 588,STAT 588
EPSY 589,PSYC 589
EPSY 589,SOC 579
ESE 100,GCL 124
ESE 103,GEOG 103
ESE 104,GEOL 104
ESE 106,GEOG 106
ESE 111,GEOL 111
ESE 117,GEOL 117
ESE 118,GEOL 118
ESE 118,GLBL 118
ESE 120,ATMS 120
ESE 140,ATMS 140
ESE 143,GEOL 143
ESE 170,REL 170
ESE 202,HIST 202
ESE 202,NRES 202
ESE 208,GEOL 208
ESE 210,GEOG 210
ESE 222,GEOG 222
ESE 254,GEOG 254
ESE 287,GEOG 287
ESE 287,NRES 287
ESE 287,PS 273
ESE 293,ENGL 293
ESE 311,ATMS 311
ESE 320,GEOG 370
ESE 320,GEOL 370
ESE 333,GEOL 333
ESE 350,GEOG 350
ESE 360,ENGL 360
ESE 379,GEOG 379
ESE 380,GEOG 380
ESE 410,GEOG 410
ESE 411,GEOL 401
ESE 421,ATMS 421
ESE 421,GEOG 421
ESE 421,GEOL 481
ESE 421,NRES 422
ESE 439,ANTH 436
ESE 439,GEOG 436
ESE 439,IB 439
ESE 439,NRES 441
ESE 452,IB 452
ESE 452,NRES 462
ESE 465,GEOG 465
ESE 466,GEOG 466
ESE 467,ENGL 467
ESE 470,GEOL 470
ESE 477,ENGL 477
ESE 482,GEOG 482
ESE 482,GEOL 483
ESE 486,GEOL 486
ESE 498,ENGL 498
EURO 325,EPS 325
EURO 325,ASST 325
EURO 325,AFST 325
EURO 325,INFO 325
EURO 325,LAST 325
EURO 325,REES 325
EURO 325,SAME 325
EURO 376,CWL 376
EURO 376,GWS 376
EURO 376,SCAN 376
EURO 385,FR 385
EURO 385,GER 385
EURO 385,PS 385
EURO 410,LER 410
EURO 415,ITAL 415
EURO 415,PS 415
EURO 418,GER 418
EURO 418,FR 418
EURO 418,ITAL 418
EURO 418,LING 418
EURO 418,PS 418
EURO 418,SLAV 418
EURO 418,SPAN 418
EURO 470,CWL 470
EURO 470,SCAN 470
EURO 489,MACS 490
EURO 489,SCAN 490
EURO 576,CWL 586
EURO 576,GWS 576
EURO 576,SCAN 576
FIN 414,ECON 414
FIN 519,ECON 546
FR 240,AFST 209
FR 240,CWL 225
FR 240,LAST 240
FR 319,CWL 317
FR 385,EURO 385
FR 385,GER 385
FR 385,PS 385
FR 387,CWL 387
FR 387,HUM 387
FR 387,MACS 382
FR 389,CWL 389
FR 389,HUM 389
FR 389,MACS 383
FR 410,AFST 410
FR 410,CWL 410
FR 410,ENGL 470
FR 416,LING 416
FR 417,MDVL 417
FR 418,EURO 418
FR 418,GER 418
FR 418,ITAL 418
FR 418,LING 418
FR 418,PS 418
FR 418,SLAV 418
FR 418,SPAN 418
FR 460,EIL 460
FR 460,EPSY 487
FR 460,GER 460
FR 460,ITAL 460
FR 460,PORT 460
FR 460,SLS 460
FR 460,SPAN 460
FR 462,ITAL 435
FR 462,LING 462
FR 462,PORT 435
FR 462,RMLG 435
FR 462,SPAN 435
FR 479,CWL 434
FR 481,GER 489
FR 481,ITAL 489
FR 481,LING 489
FR 481,PORT 489
FR 481,SPAN 489
FR 505,ITAL 505
FR 530,ITAL 530
FR 552,CWL 552
FR 559,ITAL 559
FR 559,LING 559
FR 559,PORT 559
FR 559,RMLG 559
FR 559,SPAN 557
FR 570,MDVL 570
FR 578,CWL 578
FR 580,EIL 580
FR 580,GER 580
FR 580,ITAL 580
FR 580,PORT 580
FR 580,SLS 580
FR 580,SPAN 580
FR 584,CI 584
FR 584,EALC 584
FR 584,EPSY 563
FR 584,GER 584
FR 584,ITAL 584
FR 584,LING 584
FR 584,PORT 584
FR 584,SPAN 584
FR 588,EALC 588
FR 588,GER 588
FR 588,ITAL 588
FR 588,LING 588
FR 588,PORT 588
FR 588,SPAN 588
FSHN 417,NEUR 417
FSHN 417,PSYC 417
FSHN 420,NUTR 420
FSHN 425,ACE 430
FSHN 426,NUTR 426
FSHN 427,NUTR 427
FSHN 428,NUTR 428
FSHN 440,ABE 440
FSHN 440,ANSC 440
FSHN 440,CPSC 440
FSHN 440,NRES 440
FSHN 453,KIN 453
FSHN 469,ABE 482
FSHN 471,MCB 434
FSHN 480,CB 449
FSHN 480,CPSC 433
FSHN 480,ENVS 480
FSHN 510,ANSC 525
FSHN 510,NUTR 510
FSHN 511,ANSC 521
FSHN 511,NUTR 511
FSHN 520,NUTR 561
FSHN 530,CHLH 530
FSHN 530,HDFS 551
FSHN 530,KIN 530
FSHN 530,NUTR 530
FSHN 530,SOCW 570
FSHN 531,CHLH 531
FSHN 531,HDFS 552
FSHN 531,KIN 531
FSHN 531,NUTR 531
FSHN 531,SOCW 571
FSHN 550,NUTR 550
GCL 124,ESE 100
GEOG 100,ATMS 100
GEOG 103,ESE 103
GEOG 106,ESE 106
GEOG 205,BADM 205
GEOG 210,ESE 210
GEOG 221,GLBL 221
GEOG 222,ESE 222
GEOG 254,ESE 254
GEOG 280,SOC 280
GEOG 287,ESE 287
GEOG 287,NRES 287
GEOG 287,PS 273
GEOG 350,ESE 350
GEOG 370,ESE 320
GEOG 370,GEOL 370
GEOG 379,ESE 379
GEOG 380,ESE 380
GEOG 401,NRES 401
GEOG 406,GEOL 406
GEOG 406,NRES 406
GEOG 410,ESE 410
GEOG 421,ATMS 421
GEOG 421,ESE 421
GEOG 421,GEOL 481
GEOG 421,NRES 422
GEOG 423,NRES 423
GEOG 436,ANTH 436
GEOG 436,ESE 439
GEOG 436,IB 439
GEOG 436,NRES 441
GEOG 438,SOC 478
GEOG 439,CHLH 439
GEOG 439,PATH 439
GEOG 440,BADM 440
GEOG 446,LA 446
GEOG 446,NRES 446
GEOG 446,UP 446
GEOG 460,NRES 460
GEOG 465,ESE 465
GEOG 466,ESE 466
GEOG 468,ANSC 449
GEOG 468,CPSC 448
GEOG 468,IB 491
GEOG 477,NRES 477
GEOG 482,ESE 482
GEOG 482,GEOL 483
GEOG 496,ATMS 446
GEOG 496,SOC 451
GEOG 560,PATH 560
GEOG 561,CHLH 580
GEOG 561,LA 570
GEOG 575,GEOL 575
GEOG 587,UP 587
GEOL 104,ESE 104
GEOL 111,ESE 111
GEOL 117,ESE 117
GEOL 118,ESE 118
GEOL 118,GLBL 118
GEOL 143,ESE 143
GEOL 208,ESE 208
GEOL 333,ESE 333
GEOL 370,ESE 320
GEOL 370,GEOG 370
GEOL 380,ENVS 380
GEOL 401,ESE 411
GEOL 406,GEOG 406
GEOL 406,NRES 406
GEOL 470,ESE 470
GEOL 481,ATMS 421
GEOL 481,ESE 421
GEOL 481,GEOG 421
GEOL 481,NRES 422
GEOL 483,ESE 482
GEOL 483,GEOG 482
GEOL 484,IB 484
GEOL 485,ATMS 404
GEOL 486,ESE 486
GEOL 573,CEE 553
GEOL 575,GEOG 575
GER 200,CWL 224
GER 250,CWL 250
GER 250,ENGL 267
GER 251,CWL 254
GER 251,ENGL 266
GER 260,CWL 271
GER 260,ENGL 268
GER 261,CWL 273
GER 261,ENGL 269
GER 261,JS 261
GER 270,CWL 272
GER 270,GWS 270
GER 385,EURO 385
GER 385,FR 385
GER 385,PS 385
GER 396,CWL 328
GER 403,TRST 403
GER 405,CLCV 430
GER 405,CWL 430
GER 405,ENGL 486
GER 405,SLAV 430
GER 405,SPAN 436
GER 405,TRST 431
GER 418,EURO 418
GER 418,FR 418
GER 418,ITAL 418
GER 418,LING 418
GER 418,PS 418
GER 418,SLAV 418
GER 418,SPAN 418
GER 460,EIL 460
GER 460,EPSY 487
GER 460,FR 460
GER 460,ITAL 460
GER 460,PORT 460
GER 460,SLS 460
GER 460,SPAN 460
GER 470,MDVL 470
GER 489,FR 481
GER 489,ITAL 489
GER 489,LING 489
GER 489,PORT 489
GER 489,SPAN 489
GER 493,MACS 493
GER 494,MACS 494
GER 511,CWL 511
GER 511,EALC 511
GER 511,SLAV 501
GER 511,TRST 501
GER 512,CWL 512
GER 512,EALC 512
GER 512,SLAV 502
GER 512,TRST 502
GER 515,MDVL 515
GER 530,MDVL 530
GER 570,CWL 570
GER 571,MDVL 571
GER 580,EIL 580
GER 580,FR 580
GER 580,ITAL 580
GER 580,PORT 580
GER 580,SLS 580
GER 580,SPAN 580
GER 584,CI 584
GER 584,EALC 584
GER 584,EPSY 563
GER 584,FR 584
GER 584,ITAL 584
GER 584,LING 584
GER 584,PORT 584
GER 584,SPAN 584
GER 588,EALC 588
GER 588,FR 588
GER 588,ITAL 588
GER 588,LING 588
GER 588,PORT 588
GER 588,SPAN 588
GLBL 118,ESE 118
GLBL 118,GEOL 118
GLBL 201,NPRE 201
GLBL 221,GEOG 221
GLBL 228,HIST 257
GLBL 251,HIST 251
GLBL 272,ANTH 272
GLBL 272,SAME 272
GLBL 272,TURK 270
GLBL 280,PHYS 280
GLBL 283,PS 283
GLBL 356,PS 356
GLBL 357,PS 357
GLBL 403,ANTH 403
GLBL 403,GWS 403
GLBL 403,HIST 434
GLBL 403,REL 403
GLBL 403,SAME 403
GLBL 480,NPRE 480
GLBL 480,PS 480
GLBL 481,NPRE 481
GLBL 483,NPRE 483
GRK 101,REL 111
GRK 102,REL 112
GRK 201,REL 200
GRK 202,REL 204
GRK 251,GRKM 201
GRK 252,GRKM 202
GRK 403,GRKM 403
GRK 404,GRKM 404
GRK 531,LAT 531
GRK 595,LAT 595
GRKM 201,GRK 251
GRKM 202,GRK 252
GRKM 403,GRK 403
GRKM 404,GRK 404
GWS 100,HDFS 140
GWS 100,SOC 130
GWS 103,AFRO 103
GWS 103,AFST 103
GWS 201,SOC 201
GWS 202,SOC 202
GWS 204,ENGL 277
GWS 204,MACS 204
GWS 215,AAS 215
GWS 215,AIS 295
GWS 215,AFRO 215
GWS 215,LLS 215
GWS 218,THEA 218
GWS 225,ANTH 225
GWS 226,AFRO 226
GWS 226,SOC 223
GWS 230,LLS 230
GWS 235,LLS 235
GWS 240,CLCV 240
GWS 240,CWL 262
GWS 245,HIST 245
GWS 245,MDVL 245
GWS 255,SOC 255
GWS 258,ANTH 258
GWS 261,SOC 261
GWS 262,ANTH 262
GWS 263,HIST 263
GWS 270,GER 270
GWS 270,CWL 272
GWS 272,PS 272
GWS 275,AAS 275
GWS 280,ENGL 280
GWS 281,ENGL 281
GWS 282,AAS 282
GWS 282,LLS 282
GWS 285,HIST 285
GWS 286,HIST 286
GWS 287,AFRO 287
GWS 287,HIST 287
GWS 288,AAS 288
GWS 305,AAS 300
GWS 305,LLS 305
GWS 315,AAS 315
GWS 320,LLS 320
GWS 320,SOC 321
GWS 333,ENGL 333
GWS 335,MACS 335
GWS 340,HDFS 340
GWS 340,SOC 322
GWS 343,AAS 343
GWS 343,AFRO 343
GWS 343,AIS 343
GWS 343,LLS 343
GWS 345,INFO 345
GWS 345,MACS 345
GWS 345,SOC 345
GWS 356,MACS 356
GWS 360,ARTH 360
GWS 370,SOC 320
GWS 376,CWL 376
GWS 376,EURO 376
GWS 376,SCAN 376
GWS 378,ENGL 378
GWS 380,AFRO 380
GWS 383,AFRO 383
GWS 383,HIST 383
GWS 385,HIST 385
GWS 387,HIST 387
GWS 392,LLS 392
GWS 392,SOC 392
GWS 397,HIST 397
GWS 403,ANTH 403
GWS 403,GLBL 403
GWS 403,HIST 434
GWS 403,REL 403
GWS 403,SAME 403
GWS 409,CHLH 409
GWS 415,AFRO 415
GWS 415,AFST 420
GWS 417,THEA 417
GWS 418,THEA 418
GWS 421,EPSY 421
GWS 424,ARCH 424
GWS 432,CMN 432
GWS 432,LING 432
GWS 435,AAS 435
GWS 435,AFRO 435
GWS 435,LLS 435
GWS 435,MACS 432
GWS 442,KIN 442
GWS 445,LLS 442
GWS 445,SPAN 442
GWS 450,CWL 450
GWS 453,HIST 453
GWS 454,SOCW 455
GWS 459,HIST 459
GWS 464,AAS 464
GWS 464,ANTH 464
GWS 464,REL 464
GWS 465,AAS 465
GWS 465,AFRO 465
GWS 465,LLS 465
GWS 467,HIST 468
GWS 478,PS 413
GWS 501,HIST 503
GWS 508,ANTH 508
GWS 512,SOCW 581
GWS 512,WGGP 581
GWS 540,EPS 540
GWS 545,EPS 545
GWS 560,MDIA 560
GWS 561,AAS 561
GWS 561,AFRO 531
GWS 561,ANTH 565
GWS 561,LLS 561
GWS 576,CWL 586
GWS 576,EURO 576
GWS 576,SCAN 576
HDFS 140,GWS 100
HDFS 140,SOC 130
HDFS 143,ANTH 143
HDFS 220,ANTH 210
HDFS 221,AAS 297
HDFS 221,SOCW 297
HDFS 259,KIN 259
HDFS 262,KIN 262
HDFS 263,KIN 230
HDFS 263,RST 230
HDFS 314,CHLH 314
HDFS 314,RST 314
HDFS 314,PSYC 314
HDFS 314,REHB 314
HDFS 322,LLS 322
HDFS 324,AFRO 382
HDFS 340,GWS 340
HDFS 340,SOC 322
HDFS 341,AAS 346
HDFS 361,ARTE 350
HDFS 361,DANC 350
HDFS 404,CHLH 404
HDFS 424,AFRO 421
HDFS 424,EPS 421
HDFS 444,CHLH 444
HDFS 459,KIN 459
HDFS 533,SOC 572
HDFS 533,UP 533
HDFS 539,AAS 539
HDFS 539,EPS 539
HDFS 541,LLS 554
HDFS 541,SOCW 554
HDFS 543,AFRO 552
HDFS 543,SOC 578
HDFS 543,UP 578
HDFS 551,CHLH 530
HDFS 551,FSHN 530
HDFS 551,KIN 530
HDFS 551,NUTR 530
HDFS 551,SOCW 570
HDFS 552,CHLH 531
HDFS 552,FSHN 531
HDFS 552,KIN 531
HDFS 552,NUTR 531
HDFS 552,SOCW 571
HEBR 205,REL 205
HEBR 414,REL 414
HIST 120,EALC 120
HIST 130,ANTH 130
HIST 168,JS 120
HIST 168,REL 120
HIST 174,AFRO 101
HIST 202,ESE 202
HIST 202,NRES 202
HIST 213,AFST 213
HIST 213,REL 215
HIST 219,AFRO 221
HIST 219,LA 221
HIST 220,EALC 220
HIST 221,EALC 221
HIST 222,EALC 222
HIST 222,REL 224
HIST 225,ANTH 286
HIST 225,ASST 286
HIST 226,EALC 226
HIST 227,EALC 227
HIST 245,GWS 245
HIST 245,MDVL 245
HIST 247,MDVL 247
HIST 251,GLBL 251
HIST 252,JS 252
HIST 254,SCAN 225
HIST 255,MDVL 255
HIST 257,GLBL 228
HIST 261,RUSS 261
HIST 262,JS 262
HIST 263,GWS 263
HIST 269,JS 269
HIST 269,REL 269
HIST 275,AFRO 275
HIST 276,AFRO 276
HIST 277,AIS 277
HIST 278,AIS 278
HIST 279,LLS 279
HIST 280,LLS 280
HIST 281,AAS 281
HIST 281,AFRO 281
HIST 281,LLS 281
HIST 283,AAS 283
HIST 284,AFRO 290
HIST 285,GWS 285
HIST 286,GWS 286
HIST 287,AFRO 287
HIST 287,GWS 287
HIST 288,ANTH 288
HIST 288,AIS 288
HIST 289,REL 235
HIST 290,REL 236
HIST 292,LLS 238
HIST 300,MACS 300
HIST 308,LAST 308
HIST 325,EALC 367
HIST 335,JS 335
HIST 338,AFST 338
HIST 345,MDVL 345
HIST 345,REL 345
HIST 346,MDVL 346
HIST 346,REL 346
HIST 347,REL 347
HIST 355,JS 355
HIST 379,LLS 379
HIST 382,LLS 382
HIST 383,AFRO 383
HIST 383,GWS 383
HIST 384,AFRO 372
HIST 385,GWS 385
HIST 387,GWS 387
HIST 389,AFRO 378
HIST 390,KIN 345
HIST 391,LLS 391
HIST 393,ANTH 393
HIST 393,REL 393
HIST 397,GWS 397
HIST 407,AFRO 407
HIST 412,AFST 425
HIST 420,EALC 420
HIST 422,EALC 421
HIST 425,CWL 478
HIST 425,EALC 476
HIST 426,EALC 426
HIST 427,EALC 427
HIST 432,JS 442
HIST 432,REL 442
HIST 433,REL 434
HIST 434,ANTH 403
HIST 434,GLBL 403
HIST 434,GWS 403
HIST 434,REL 403
HIST 434,SAME 403
HIST 436,CWL 421
HIST 436,REL 420
HIST 436,SLAV 420
HIST 436,YDSH 420
HIST 440,CLCV 440
HIST 443,MDVL 443
HIST 444,EPS 403
HIST 444,MDVL 403
HIST 445,MDVL 444
HIST 450,LER 450
HIST 450,SOC 422
HIST 453,GWS 453
HIST 459,GWS 459
HIST 468,GWS 467
HIST 470,AFRO 453
HIST 476,LLS 475
HIST 478,AFRO 474
HIST 479,REL 478
HIST 480,LER 480
HIST 481,REL 479
HIST 482,AFRO 460
HIST 483,AFRO 466
HIST 486,REL 435
HIST 503,GWS 501
HIST 510,AFST 510
HIST 511,AFST 511
HIST 519,ANTH 504
HIST 520,EALC 520
HIST 521,EALC 522
HIST 526,EALC 526
HIST 527,EALC 527
HIST 542,MDVL 542
HIST 543,MDVL 543
HIST 574,REL 535
HIST 575,AFRO 501
HNDI 115,LING 115
HNDI 115,REL 115
HORT 180,CPSC 180
HORT 226,CPSC 226
HORT 261,CPSC 261
HORT 430,LA 430
HORT 453,CPSC 453
HORT 566,CPSC 566
HORT 588,CPSC 588
HORT 588,IB 524
HRD 472,CI 484
HRD 474,EPSY 474
HRD 501,EOL 573
HRD 531,EOL 587
HRD 534,LER 545
HUM 387,CWL 387
HUM 387,FR 387
HUM 387,MACS 382
HUM 389,CWL 389
HUM 389,FR 389
HUM 389,MACS 383
IB 220,CPSC 270
IB 220,NRES 270
IB 329,ANSC 366
IB 329,ANTH 342
IB 329,PSYC 329
IB 348,NRES 348
IB 360,ANTH 360
IB 361,ANTH 361
IB 368,NRES 368
IB 416,ANSC 446
IB 420,CPSC 484
IB 421,BIOP 432
IB 421,CPSC 489
IB 432,ANTH 432
IB 432,NEUR 432
IB 432,PSYC 432
IB 436,NEUR 433
IB 436,PHIL 433
IB 436,PSYC 433
IB 439,ANTH 436
IB 439,ESE 439
IB 439,GEOG 436
IB 439,NRES 441
IB 440,CPSC 431
IB 440,NRES 431
IB 442,MCB 435
IB 450,CEE 432
IB 451,CPSC 436
IB 451,ENVS 420
IB 452,ESE 452
IB 452,NRES 462
IB 453,NRES 452
IB 461,NRES 461
IB 462,NRES 442
IB 463,NRES 463
IB 464,NRES 464
IB 472,CPSC 462
IB 473,CPSC 467
IB 477,CPSC 466
IB 478,CPSC 452
IB 482,CPSC 479
IB 483,CPSC 475
IB 484,GEOL 484
IB 485,CHLH 461
IB 485,ENVS 431
IB 486,CB 434
IB 486,ENVS 433
IB 487,ANSC 448
IB 487,STAT 458
IB 491,ANSC 449
IB 491,CPSC 448
IB 491,GEOG 468
IB 501,CPSC 501
IB 505,CPSC 567
IB 506,ANSC 542
IB 506,CPSC 569
IB 507,ANSC 545
IB 507,CPSC 545
IB 508,PATH 528
IB 516,NRES 516
IB 524,CPSC 588
IB 524,HORT 588
IB 542,CPSC 538
IE 340,PSYC 358
IE 410,CS 481
IE 413,CS 482
IE 445,EPSY 456
IE 445,PSYC 456
IE 519,CS 586
IE 534,CS 547
IE 546,EPSY 546
INFO 102,CS 102
INFO 202,IS 202
INFO 202,MACS 202
INFO 303,WRIT 303
INFO 310,IS 310
INFO 325,EPS 325
INFO 325,AFST 325
INFO 325,ASST 325
INFO 325,EURO 325
INFO 325,LAST 325
INFO 325,REES 325
INFO 325,SAME 325
INFO 326,MACS 326
INFO 345,GWS 345
INFO 345,MACS 345
INFO 345,SOC 345
INFO 491,CPSC 491
